name,site,phone,full_address,street,city,postal_code,state,country,latitude,longitude,reviews,working_hours,business_status,location_link,delivery_available,firewood_type,firewood_prep,price_range,website_available,description,firewood_type_extracted,price_extracted,price_info_available,needs_manual_review,has_firewood_delivery,has_firewood_type,has_firewood_prep,has_price_info
Orr's Tree Service,http://www.orrstreeservice.com/,+1 973-334-2119,"125 Waughaw Rd, Towaco, NJ 07082",125 Waughaw Rd,Towaco,07082,New Jersey,United States of America,40.9365665,-74.3573956,9,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Orr%27s+Tree+Service/@40.9365665,-74.35739559999999,14z/data=!4m8!1m2!2m1!1sOrr%27s+Tree+Service!3m4!1s0x89c3057f9f529bbb:0x1dda4cae47fbd1b4!8m2!3d40.9365665!4d-74.35739559999999",Yes,Mixed hardwoods,Seasoned,,Yes,"Orr's Tree Service is a firewood provider based in Towaco, New Jersey. They supply mixed hardwoods firewood. Their wood is typically seasoned for optimal burning. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,True,True,True,False
"Clean Acres, llc",http://www.clean-acres.net/,+1 412-880-9781,"4299 Finleyville Elrama Rd, Finleyville, PA 15332",4299 Finleyville Elrama Rd,Finleyville,15332,Pennsylvania,United States of America,40.2515996,-79.9492758,9,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Clean+Acres%2C+llc/@40.2515996,-79.9492758,14z/data=!4m8!1m2!2m1!1sClean+Acres%2C+llc!3m4!1s0x8834fd55795e6265:0x514735d2d8d29f7d!8m2!3d40.2515996!4d-79.9492758",No,Mixed hardwoods,,,Yes,"Clean Acres, llc is a firewood provider based in Finleyville, Pennsylvania. They supply mixed hardwoods firewood. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,False,False
"Dion's Enterprises, Inc",http://www.dionstreeserviceandfirewood.com/,+1 732-363-4028,"981 US-9, Howell Township, NJ 07731",981 US-9,Howell Township,07731,New Jersey,United States of America,40.2039761,-74.2554025,9,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""9AM-5PM""}",OPERATIONAL,"https://www.google.com/maps/place/Dion%27s+Enterprises%2C+Inc/@40.2039761,-74.2554025,14z/data=!4m8!1m2!2m1!1sDion%27s+Enterprises%2C+Inc!3m4!1s0x89c1820b5f279eb5:0x856db81e4aa00264!8m2!3d40.2039761!4d-74.2554025",No,,,,Yes,"Dion's Enterprises, Inc is a firewood provider based in Howell Township, New Jersey. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
D & M Firewood,https://dmfirewood.com/,+1 810-987-2888,"2787 Barth Rd, Smiths Creek, MI 48074",2787 Barth Rd,Smiths Creek,48074,Michigan,United States of America,42.9849832,-82.5856839,9,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/D+%26+M+Firewood/@42.984983199999995,-82.58568389999999,14z/data=!4m8!1m2!2m1!1sD+%26+M+Firewood!3m4!1s0x8825a11925857577:0x1f0ce4edf6714870!8m2!3d42.984983199999995!4d-82.58568389999999",Yes,Mixed hardwoods,Seasoned,,Yes,"D & M Firewood is a firewood provider based in Smiths Creek, Michigan. They supply mixed hardwoods firewood. Their wood is typically seasoned for optimal burning. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,True,True,True,False
Firewood Shop,https://www.facebook.com/people/The-Firewood-Shop/100054223251641/,+1 508-883-7582,"1060 Pulaski Blvd, Bellingham, MA 02019",1060 Pulaski Blvd,Bellingham,02019,Massachusetts,United States of America,42.0363099,-71.4715447,9,,OPERATIONAL,"https://www.google.com/maps/place/Firewood+Shop/@42.0363099,-71.4715447,14z/data=!4m8!1m2!2m1!1sFirewood+Shop!3m4!1s0x89e469540b6cc457:0x6271e46f5c4e2a10!8m2!3d42.0363099!4d-71.4715447",No,,,,Yes,"Firewood Shop is a firewood provider based in Bellingham, Massachusetts. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Phoenix Nest LLC,http://www.organicengineer.com/,+1 606-923-7664,"1217 Unity Cir, Flatwoods, KY 41139",1217 Unity Cir,Flatwoods,41139,Kentucky,United States of America,38.5116981,-82.726432,9,"{""Monday"": ""6AM-6PM"", ""Tuesday"": ""6AM-6PM"", ""Wednesday"": ""6AM-6PM"", ""Thursday"": ""6AM-6PM"", ""Friday"": ""6AM-6PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Phoenix+Nest+LLC/@38.5116981,-82.726432,14z/data=!4m8!1m2!2m1!1sPhoenix+Nest+LLC!3m4!1s0x884671741d90c21f:0x236cafd9b19f3469!8m2!3d38.5116981!4d-82.726432",Yes,"Oak, Hickory, Firewood",Seasoned,"$130  - 1 , $105  - 1 , $350 - 4 ",Yes,"Phoenix Nest LLC is a firewood provider based in Flatwoods, Kentucky. They supply oak, hickory, firewood firewood. Their wood is typically seasoned for optimal burning. Delivery services are offered for local and regional orders. Pricing ranges from $130  - 1 , $105  - 1 , $350 - 4 .",Oak,", .00",True,False,True,True,True,True
Best Woods Money Can Buy!,http://bestwoodsmoneycanbuy.com/?utm_source=gmb,+1 360-747-4138,"624 Cloverdale Rd, Kalama, WA 98625",624 Cloverdale Rd,Kalama,98625,Washington,United States of America,45.9973659,-122.8239134,9,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""10AM-5PM""}",OPERATIONAL,"https://www.google.com/maps/place/Best+Woods+Money+Can+Buy%21/@45.9973659,-122.8239134,14z/data=!4m8!1m2!2m1!1sBest+Woods+Money+Can+Buy%21!3m4!1s0x5494720b3fc5fbb7:0xd1ecff616f3a5eee!8m2!3d45.9973659!4d-122.8239134",No,,,,Yes,"Best Woods Money Can Buy! is a firewood provider based in Kalama, Washington. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Bob's Firewood,http://bobsfirewoodmn.com/,+1 320-573-3939,"33909 Breezy Dr, Burtrum, MN 56318",33909 Breezy Dr,Burtrum,56318,Minnesota,United States of America,45.826377,-94.668199,9,"{""Monday"": ""8AM-7PM"", ""Tuesday"": ""8AM-7PM"", ""Wednesday"": ""8AM-7PM"", ""Thursday"": ""8AM-7PM"", ""Friday"": ""8AM-7PM"", ""Saturday"": ""8AM-7PM"", ""Sunday"": ""8AM-7PM""}",OPERATIONAL,"https://www.google.com/maps/place/Bob%27s+Firewood/@45.826377,-94.668199,14z/data=!4m8!1m2!2m1!1sBob%27s+Firewood!3m4!1s0x52b5c9caf1bc6c93:0x6834f8aef1f604b!8m2!3d45.826377!4d-94.668199",No,,,,Yes,"Bob's Firewood is a firewood provider based in Burtrum, Minnesota. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Good Wood Firewood,https://goodwoodfirewoods.com/,+1 507-273-6626,"1820 75th St NE, Rochester, MN 55906",1820 75th St NE,Rochester,55906,Minnesota,United States of America,44.1056757,-92.4395674,9,"{""Monday"": ""7AM-7PM"", ""Tuesday"": ""7AM-7PM"", ""Wednesday"": ""7AM-7PM"", ""Thursday"": ""7AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""7AM-7PM"", ""Sunday"": ""7AM-7PM""}",OPERATIONAL,"https://www.google.com/maps/place/Good+Wood+Firewood/@44.1056757,-92.4395674,14z/data=!4m8!1m2!2m1!1sGood+Wood+Firewood!3m4!1s0x87f9df90b209dca5:0xdeb07bcc7d52af30!8m2!3d44.1056757!4d-92.4395674",Yes,Cherry,Seasoned,,Yes,"Good Wood Firewood is a firewood provider based in Rochester, Minnesota. They supply cherry firewood. Their wood is typically seasoned for optimal burning. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",Cherry,Call for pricing,False,False,True,True,True,False
Ocean State Tree Service,http://www.oceanstatetreeservice.com/,+1 401-789-1893,,,West Kingston,02892,Rhode Island,United States of America,41.4320834,-71.646447,9,"{""Monday"": ""8AM-4PM"", ""Tuesday"": ""8AM-4PM"", ""Wednesday"": ""8AM-4PM"", ""Thursday"": ""8AM-4PM"", ""Friday"": ""8AM-4PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Ocean+State+Tree+Service/@41.432083399999996,-71.646447,14z/data=!4m8!1m2!2m1!1sOcean+State+Tree+Service!3m4!1s0x89e5c0863da01a3f:0x53b3a30aceb974ad!8m2!3d41.432083399999996!4d-71.646447",No,,,,Yes,"Ocean State Tree Service is a firewood provider based in West Kingston, Rhode Island. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
