name,site,phone,full_address,street,city,postal_code,state,country,latitude,longitude,reviews,working_hours,business_status,location_link,delivery_available,firewood_type,firewood_prep,price_range,website_available,description,firewood_type_extracted,price_extracted,price_info_available,needs_manual_review,has_firewood_delivery,has_firewood_type,has_firewood_prep,has_price_info
LK&SONS - FIREWOOD - LAWN CARE - HAULING - SNOW PLOWING SERVICES,https://www.facebook.com/KeepTheFlameBurnin?mibextid=LQQJ4d,+1 802-379-1532,"#313, Arlington, VT 05250",#313,Arlington,05250,Vermont,United States of America,43.0847993,-73.1905918,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/LK%26SONS+-+FIREWOOD+-+LAWN+CARE+-+HAULING+-+SNOW+PLOWING+SERVICES/@43.0847993,-73.19059179999999,14z/data=!4m8!1m2!2m1!1sLK%26SONS+-+FIREWOOD+-+LAWN+CARE+-+HAULING+-+SNOW+PLOWING+SERVICES!3m4!1s0x89e089dc4d7d3a75:0x267366b4ece2e44e!8m2!3d43.0847993!4d-73.19059179999999",No,,,,Yes,"LK&SONS - FIREWOOD - LAWN CARE - HAULING - SNOW PLOWING SERVICES is a firewood provider based in Arlington, Vermont. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Ed The Treeman LLC,https://edthetreeman.com/,+1 203-758-0261,,,Prospect,06712,Connecticut,United States of America,46.423669,-129.9427086,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Ed+The+Treeman+LLC/@46.423669,-129.9427086,14z/data=!4m8!1m2!2m1!1sEd+The+Treeman+LLC!3m4!1s0x89e7c11d7e5ba011:0x3614b8488f3161ad!8m2!3d46.423669!4d-129.9427086",No,,,,Yes,"Ed The Treeman LLC is a firewood provider based in Prospect, Connecticut. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Ashe Stump Grinding & Tree Services,https://ashestumpgrindingsvc.com/,+1 757-335-4197,,,Newport News,23605,Virginia,United States of America,37.075615,-76.5038515,1,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-6PM"", ""Sunday"": ""8AM-6PM""}",OPERATIONAL,"https://www.google.com/maps/place/Ashe+Stump+Grinding+%26+Tree+Services/@37.075615,-76.5038515,14z/data=!4m8!1m2!2m1!1sAshe+Stump+Grinding+%26+Tree+Services!3m4!1s0x65b36644cb34368b:0x189486144e3bd7!8m2!3d37.075615!4d-76.5038515",No,Mixed hardwoods,Seasoned,,Yes,"Ashe Stump Grinding & Tree Services is a firewood provider based in Newport News, Virginia. They supply mixed hardwoods firewood. Their wood is typically seasoned for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,True,False
American Firewood Company,http://americanfirewood.com/,+1 404-794-1667,"659 Northside Dr NW, Atlanta, GA 30318",659 Northside Dr NW,Atlanta,30318,Georgia,United States of America,33.7720801,-84.407079,1,"{""Monday"": ""7AM-8PM"", ""Tuesday"": ""7AM-8PM"", ""Wednesday"": ""7AM-8PM"", ""Thursday"": ""7AM-8PM"", ""Friday"": ""7AM-8PM"", ""Saturday"": ""7AM-8PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/American+Firewood+Company/@33.7720801,-84.407079,14z/data=!4m8!1m2!2m1!1sAmerican+Firewood+Company!3m4!1s0x2ebea6ae05e2f41b:0x8684b82c16e5da01!8m2!3d33.7720801!4d-84.407079",No,"Oak, Hickory, Firewood",Seasoned,,Yes,"American Firewood Company is a firewood provider based in Atlanta, Georgia. They supply oak, hickory, firewood firewood. Their wood is typically seasoned for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,True,False
Firewood supply N.H,http://firewoodsupplynh.com/,+1 603-265-1035,"332 Whittier Hwy, Sandwich, NH 03227",332 Whittier Hwy,Sandwich,03227,New Hampshire,United States of America,43.8043512,-71.3566515,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Closed"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Firewood+supply+N.H/@43.8043512,-71.3566515,14z/data=!4m8!1m2!2m1!1sFirewood+supply+N.H!3m4!1s0x8c6bffecdc1d36e9:0xb6d690bb6210d84d!8m2!3d43.8043512!4d-71.3566515",Yes,"Oak, Firewood","Seasoned, Green, Dry","$25 , $50 , $75 , $90 , $105 , $150 ",Yes,"Firewood supply N.H is a firewood provider based in Sandwich, New Hampshire. They supply oak, firewood firewood. Their wood is typically seasoned, green, dry for optimal burning. Delivery services are offered for local and regional orders. Pricing ranges from $25 , $50 , $75 , $90 , $105 , $150 .","Ash, Beech, Birch, Cherry, Maple, Oak",Call for pricing,False,False,True,True,True,False
Firewood supply nh,http://firewoodsupplynh.com/,+1 603-265-1035,,,Middleton,03887,New Hampshire,United States of America,43.7345056,-71.4145434,1,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""7AM-5PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Firewood+supply+nh/@43.7345056,-71.4145434,14z/data=!4m8!1m2!2m1!1sFirewood+supply+nh!3m4!1s0x4193b1bf865cf967:0x7f96c063737df7f7!8m2!3d43.7345056!4d-71.4145434",Yes,"Oak, Firewood","Seasoned, Green, Dry","$25 , $50 , $75 , $90 , $105 , $150 ",Yes,"Firewood supply nh is a firewood provider based in Middleton, New Hampshire. They supply oak, firewood firewood. Their wood is typically seasoned, green, dry for optimal burning. Delivery services are offered for local and regional orders. Pricing ranges from $25 , $50 , $75 , $90 , $105 , $150 .","Ash, Beech, Birch, Cherry, Maple, Oak",Call for pricing,False,False,True,True,True,False
Winslow Firewood,https://sites.google.com/view/winslowfirewood/,+1 603-659-9300,"11 Allens Ave, Lee, NH 03861",11 Allens Ave,Lee,03861,New Hampshire,United States of America,43.1252188,-71.0052524,1,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Winslow+Firewood/@43.1252188,-71.0052524,14z/data=!4m8!1m2!2m1!1sWinslow+Firewood!3m4!1s0x89e28d63a815aa4f:0x6b640c158d17356f!8m2!3d43.1252188!4d-71.0052524",No,Mixed hardwoods,,,Yes,"Winslow Firewood is a firewood provider based in Lee, New Hampshire. They supply mixed hardwoods firewood. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,False,False
Homebrite Firewood,https://firewoodhomebrite.com/,+1 732-696-8746,,25 Oakshades Ave.,Aberdeen,07747,New Jersey,United States of America,40.409385,-74.258048,1,"{""Monday"": ""7:30AM-6PM"", ""Tuesday"": ""7:30AM-6PM"", ""Wednesday"": ""7:30AM-6PM"", ""Thursday"": ""7:30AM-6PM"", ""Friday"": ""7:30AM-6PM"", ""Saturday"": ""7:30AM-5PM"", ""Sunday"": ""12-5PM""}",OPERATIONAL,"https://www.google.com/maps/place/Homebrite+Firewood/@40.409385,-74.258048,14z/data=!4m8!1m2!2m1!1sHomebrite+Firewood!3m4!1s0x89c233aa5f5164f7:0xce17072c5a41a044!8m2!3d40.409385!4d-74.258048",Yes,"Oak, Firewood",,,Yes,"Homebrite Firewood is a firewood provider based in Aberdeen, New Jersey. They supply oak, firewood firewood. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.","Locust, Oak",Call for pricing,False,False,True,True,False,False
Matheson's Firewood & Landscaping,http://www.mathesonslandscaping.com/,+1 302-834-9016,"133 Kingston Dr, Bear, DE 19701",133 Kingston Dr,Bear,19701,Delaware,United States of America,39.6204569,-75.6560202,1,,OPERATIONAL,"https://www.google.com/maps/place/Matheson%27s+Firewood+%26+Landscaping/@39.6204569,-75.6560202,14z/data=!4m8!1m2!2m1!1sMatheson%27s+Firewood+%26+Landscaping!3m4!1s0x89c706f827d76167:0x14bf6b6bed779d87!8m2!3d39.6204569!4d-75.6560202",No,,,,Yes,"Matheson's Firewood & Landscaping is a firewood provider based in Bear, Delaware. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Lost Coast Forest Products Inc.,http://www.lcfp.com/,+1 707-578-5619,"1955 Cleveland Ave, Santa Rosa, CA 95401",1955 Cleveland Ave,Santa Rosa,95401,California,United States of America,38.4554409,-122.7267402,1,"{""Monday"": ""9AM-3PM"", ""Tuesday"": ""9AM-3PM"", ""Wednesday"": ""9AM-3PM"", ""Thursday"": ""9AM-3PM"", ""Friday"": ""9AM-2PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Lost+Coast+Forest+Products+Inc./@38.4554409,-122.7267402,14z/data=!4m8!1m2!2m1!1sLost+Coast+Forest+Products+Inc.!3m4!1s0x80843872fd20ff1b:0x4ea2c2324e068f50!8m2!3d38.4554409!4d-122.7267402",No,Mixed hardwoods,Seasoned,,Yes,"Lost Coast Forest Products Inc. is a firewood provider based in Santa Rosa, California. They supply mixed hardwoods firewood. Their wood is typically seasoned for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,True,False
Habitat Services,https://habitatservices.net/,+1 434-531-5683,,,Keswick,22947,Virginia,United States of America,38.0002875,-78.5078634,1,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Habitat+Services/@38.0002875,-78.50786339999999,14z/data=!4m8!1m2!2m1!1sHabitat+Services!3m4!1s0x89b38abc82318fe9:0x1c566a3ece718644!8m2!3d38.0002875!4d-78.50786339999999",No,Pine,"Seasoned, Dry",,Yes,"Habitat Services is a firewood provider based in Keswick, Virginia. They supply pine firewood. Their wood is typically seasoned, dry for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",Pine,Call for pricing,False,False,False,True,True,False
Abrahams Fire,http://www.abrahamsfire.com/,+1 931-310-2446,,,Jamestown,38504,Tennessee,United States of America,35.8305894,-85.9786956,1,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Abrahams+Fire/@35.8305894,-85.9786956,14z/data=!4m8!1m2!2m1!1sAbrahams+Fire!3m4!1s0x46f8d71bef984321:0xb518187abbd1bf1c!8m2!3d35.8305894!4d-85.9786956",Yes,Mixed hardwoods,"Seasoned, Green, Dry","$3, $5, $70, $70, $1, $80, $80, $1",Yes,"Abrahams Fire is a firewood provider based in Jamestown, Tennessee. They supply mixed hardwoods firewood. Their wood is typically seasoned, green, dry for optimal burning. Delivery services are offered for local and regional orders. Pricing ranges from $3, $5, $70, $70, $1, $80, $80, $1.",,Call for pricing,False,False,True,True,True,False
Toe River Timber,http://www.toerivertimber.com/,+1 828-678-5198,"224 Autrey Cir, Burnsville, NC 28714",224 Autrey Cir,Burnsville,28714,North Carolina,United States of America,35.853203,-82.200616,1,,OPERATIONAL,"https://www.google.com/maps/place/Toe+River+Timber/@35.853203,-82.200616,14z/data=!4m8!1m2!2m1!1sToe+River+Timber!3m4!1s0x8850a77486d545df:0xb477be8b8585a0d5!8m2!3d35.853203!4d-82.200616",No,,,,Yes,"Toe River Timber is a firewood provider based in Burnsville, North Carolina. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
NNY Firewood,https://nnyfirewood.com/,+1 315-955-4847,"35065 Countryman Rd, Theresa, NY 13691",35065 Countryman Rd,Theresa,13691,New York,United States of America,44.178844,-75.8279743,1,"{""Monday"": ""7:30AM-5:30PM"", ""Tuesday"": ""7:30AM-5:30PM"", ""Wednesday"": ""7:30AM-5:30PM"", ""Thursday"": ""7:30AM-5:30PM"", ""Friday"": ""7:30AM-5:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/NNY+Firewood/@44.178844,-75.8279743,14z/data=!4m8!1m2!2m1!1sNNY+Firewood!3m4!1s0x4ccd2d4e97f901c3:0x794397bf3b8b4ad8!8m2!3d44.178844!4d-75.8279743",Yes,Mixed hardwoods,,,Yes,"NNY Firewood is a firewood provider based in Theresa, New York. They supply mixed hardwoods firewood. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,True,True,False,False
Texas Butcher Paper & Firewood,http://www.texasbutcherpaper.com/,+1 512-788-5268,"2601 Redleaf Ln, Austin, TX 78745",2601 Redleaf Ln,Austin,78745,Texas,United States of America,30.200238,-97.816836,1,"{""Monday"": ""6:30AM-2:30PM"", ""Tuesday"": ""6:30AM-2:30PM"", ""Wednesday"": ""6:30AM-2:30PM"", ""Thursday"": ""6:30AM-2:30PM"", ""Friday"": ""10AM-2:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Texas+Butcher+Paper+%26+Firewood/@30.200238,-97.816836,14z/data=!4m8!1m2!2m1!1sTexas+Butcher+Paper+%26+Firewood!3m4!1s0x865b4c9d243e6273:0xf9af6f03b90c75de!8m2!3d30.200238!4d-97.816836",Yes,Mixed hardwoods,,,Yes,"Texas Butcher Paper & Firewood is a firewood provider based in Austin, Texas. They supply mixed hardwoods firewood. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,True,True,False,False
ATX Firewood,https://www.facebook.com/ATXFirewood/,+1 512-553-9129,,,Lago Vista,78645,Texas,United States of America,30.296114,-97.784789,1,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-9PM"", ""Sunday"": ""8AM-9PM""}",OPERATIONAL,"https://www.google.com/maps/place/ATX+Firewood/@30.296114,-97.78478899999999,14z/data=!4m8!1m2!2m1!1sATX+Firewood!3m4!1s0x865b3baf1ef2f59f:0x2d22ba8f0774ae88!8m2!3d30.296114!4d-97.78478899999999",No,,,,Yes,"ATX Firewood is a firewood provider based in Lago Vista, Texas. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Black Earth Wood Products,http://www.blackearthwood.com/,+1 262-470-2865,"166 Wilson Ave, Dousman, WI 53118",166 Wilson Ave,Dousman,53118,Wisconsin,United States of America,43.0185672,-88.4754165,1,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Black+Earth+Wood+Products/@43.0185672,-88.4754165,14z/data=!4m8!1m2!2m1!1sBlack+Earth+Wood+Products!3m4!1s0x8805b7f4f47509f3:0xf4baa97efc7d1cad!8m2!3d43.0185672!4d-88.4754165",No,Mixed hardwoods,Green,,Yes,"Black Earth Wood Products is a firewood provider based in Dousman, Wisconsin. They supply mixed hardwoods firewood. Their wood is typically green for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,True,False
