name,site,phone,full_address,street,city,postal_code,state,country,latitude,longitude,reviews,working_hours,business_status,location_link,delivery_available,firewood_type,firewood_prep,price_range,website_available,description,firewood_type_extracted,price_extracted,price_info_available,needs_manual_review,has_firewood_delivery,has_firewood_type,has_firewood_prep,has_price_info
Myers Tree Service,https://www.treeservicefindlay.com/,+1 419-421-1011,,,Findlay,45840,Ohio ,United States of America,41.0244189,-83.678975,31,,OPERATIONAL,"https://www.google.com/maps/place/Myers+Tree+Service/@41.0244189,-83.678975,14z/data=!4m8!1m2!2m1!1sMyers+Tree+Service!3m4!1s0x883c011e8798f377:0xf3dcbb43540dc2e9!8m2!3d41.0244189!4d-83.678975",Yes,Mixed hardwoods,,,Yes,"Myers Tree Service is a firewood provider based in Findlay, Ohio . They supply mixed hardwoods firewood. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,True,True,False,False
"Niles Firewood, LLC.",http://www.nilesfirewoodllc.com/,+1 661-871-4831,"8 Fairfax Rd, Bakersfield, CA 93307",8 Fairfax Rd,Bakersfield,93307,California,United States of America,35.3547465,-118.9317229,31,"{""Monday"": ""Closed"", ""Tuesday"": ""9AM-3PM"", ""Wednesday"": ""9AM-3PM"", ""Thursday"": ""9AM-3PM"", ""Friday"": ""9AM-3PM"", ""Saturday"": ""9AM-3PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Niles+Firewood%2C+LLC./@35.3547465,-118.9317229,14z/data=!4m8!1m2!2m1!1sNiles+Firewood%2C+LLC.!3m4!1s0x80ea6c602e42fbfd:0x12b773d818b5b1fc!8m2!3d35.3547465!4d-118.9317229",No,"Oak, Firewood","Seasoned, Green",,Yes,"Niles Firewood, LLC. is a firewood provider based in Bakersfield, California. They supply oak, firewood firewood. Their wood is typically seasoned, green for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",Oak,Call for pricing,False,False,False,True,True,False
Firewood Birmingham,https://firewoodbhm.com/,+1 205-229-2314,,,Vestavia Hills,35216,Alabama,United States of America,33.4729359,-86.8504715,31,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Firewood+Birmingham/@33.472935899999996,-86.8504715,14z/data=!4m8!1m2!2m1!1sFirewood+Birmingham!3m4!1s0x61e9b57b6a1dbfa9:0x588ca55c79728a4a!8m2!3d33.472935899999996!4d-86.8504715",Yes,"Oak, Hickory, Firewood",Seasoned,"$260 , $260 , $320 , $290 ",Yes,"Firewood Birmingham is a firewood provider based in Vestavia Hills, Alabama. They supply oak, hickory, firewood firewood. Their wood is typically seasoned for optimal burning. Delivery services are offered for local and regional orders. Pricing ranges from $260 , $260 , $320 , $290 .","Oak, Pecan",Call for pricing,False,False,True,True,True,False
Lavelle Lawn Care and Firewood LLC,https://www.lavellefirewoodandlawncare.com/,+1 218-255-0155,"1922 MN-371, Backus, MN 56435",1922 MN-371,Backus,56435,Minnesota,United States of America,46.874949,-94.500621,31,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Lavelle+Lawn+Care+and+Firewood+LLC/@46.874949,-94.500621,14z/data=!4m8!1m2!2m1!1sLavelle+Lawn+Care+and+Firewood+LLC!3m4!1s0x52b71bffdd02a6eb:0x8d1ccbe2a435fecd!8m2!3d46.874949!4d-94.500621",Yes,Mixed hardwoods,"Seasoned, Green",,Yes,"Lavelle Lawn Care and Firewood LLC is a firewood provider based in Backus, Minnesota. They supply mixed hardwoods firewood. Their wood is typically seasoned, green for optimal burning. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,True,True,True,False
JP Tree Service,http://jptreeservice.com/,+1 951-244-7174,"22737 Cove View St, Canyon Lake, CA 92587",22737 Cove View St,Canyon Lake,92587,California,United States of America,33.6844067,-117.2613166,31,"{""Monday"": ""6AM-7PM"", ""Tuesday"": ""6AM-7PM"", ""Wednesday"": ""6AM-7PM"", ""Thursday"": ""6AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""6AM-5PM"", ""Sunday"": ""8AM-7PM""}",OPERATIONAL,"https://www.google.com/maps/place/JP+Tree+Service/@33.6844067,-117.2613166,14z/data=!4m8!1m2!2m1!1sJP+Tree+Service!3m4!1s0x80db7fb8ca55adf5:0x1a6f6c4a2b838729!8m2!3d33.6844067!4d-117.2613166",No,,,,Yes,"JP Tree Service is a firewood provider based in Canyon Lake, California. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
King's,http://kings-mulch.com/,+1 317-769-3671,"8175 E 550 S, Zionsville, IN 46077",8175 E 550 S,Zionsville,46077,Indiana,United States of America,39.9608875,-86.3144648,31,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8AM-12PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/King%27s/@39.9608875,-86.3144648,14z/data=!4m8!1m2!2m1!1sKing%27s!3m4!1s0x881354f451174d63:0x322c60707267a6b7!8m2!3d39.9608875!4d-86.3144648",Yes,,,,Yes,"King's is a firewood provider based in Zionsville, Indiana. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,True,False,False,False
Ben Parker Cutting Inc,https://ben-parker-cutting.com/,+1 503-819-8840,"19588 S Harper Rd, Colton, OR 97017",19588 S Harper Rd,Colton,97017,Oregon,United States of America,45.1646687,-122.4645359,31,"{""Monday"": ""6AM-9PM"", ""Tuesday"": ""6AM-9PM"", ""Wednesday"": ""6AM-9PM"", ""Thursday"": ""6AM-9PM"", ""Friday"": ""6AM-9PM"", ""Saturday"": ""6AM-9PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Ben+Parker+Cutting+Inc/@45.1646687,-122.4645359,14z/data=!4m8!1m2!2m1!1sBen+Parker+Cutting+Inc!3m4!1s0x54bfd7e823063af7:0x20f4a73fed1116cc!8m2!3d45.1646687!4d-122.4645359",Yes,"Oak, Firewood","Seasoned, Dry",,Yes,"Ben Parker Cutting Inc is a firewood provider based in Colton, Oregon. They supply oak, firewood firewood. Their wood is typically seasoned, dry for optimal burning. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.","Cedar, Cherry, Oak",Call for pricing,False,False,True,True,True,False
Trustworthy Firewood Delivery,http://trustworthyfirewood.com/,+1 206-880-7215,,,Seattle,98101,Washington,United States of America,47.2729926,-120.8825225,31,"{""Monday"": ""7AM-10PM"", ""Tuesday"": ""7AM-10PM"", ""Wednesday"": ""7AM-10PM"", ""Thursday"": ""7AM-10PM"", ""Friday"": ""7AM-10PM"", ""Saturday"": ""7AM-10PM"", ""Sunday"": ""7AM-10PM""}",OPERATIONAL,"https://www.google.com/maps/place/Trustworthy+Firewood+Delivery/@47.272992599999995,-120.8825225,14z/data=!4m8!1m2!2m1!1sTrustworthy+Firewood+Delivery!3m4!1s0x5490117b2fe3da15:0x7e962ee0b12c0eb0!8m2!3d47.272992599999995!4d-120.8825225",Yes,"Oak, Pine, Firewood","Seasoned, Green, Dry",,Yes,"Trustworthy Firewood Delivery is a firewood provider based in Seattle, Washington. They supply oak, pine, firewood firewood. Their wood is typically seasoned, green, dry for optimal burning. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.","Alder, Cedar, Cherry, Fir, Maple, Pine",Call for pricing,False,False,True,True,True,False
Taylor's Total Tree Service & Stump Removal,https://taylorstotaltreeservice.com/,+1 239-995-8733,,,North Fort Myers,33917,Florida,United States of America,26.6757459,-81.999885,31,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Taylor%27s+Total+Tree+Service+%26+Stump+Removal/@26.6757459,-81.99988499999999,14z/data=!4m8!1m2!2m1!1sTaylor%27s+Total+Tree+Service+%26+Stump+Removal!3m4!1s0x88db6820fe852d0f:0xf39942911a30c350!8m2!3d26.6757459!4d-81.99988499999999",No,,,,Yes,"Taylor's Total Tree Service & Stump Removal is a firewood provider based in North Fort Myers, Florida. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Adirondack Landscape Supply 518mulch,https://adirondacklandscapesupply.com/,+1 518-796-8607,"141 River St, Hudson Falls, NY 12839",141 River St,Hudson Falls,12839,New York,United States of America,43.3095665,-73.6002776,31,"{""Monday"": ""8AM-3PM"", ""Tuesday"": ""8AM-3PM"", ""Wednesday"": ""8AM-3PM"", ""Thursday"": ""8AM-3PM"", ""Friday"": ""8AM-3PM"", ""Saturday"": ""4AM-12PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Adirondack+Landscape+Supply+518mulch/@43.309566499999995,-73.6002776,14z/data=!4m8!1m2!2m1!1sAdirondack+Landscape+Supply+518mulch!3m4!1s0x89dfd13d2c2bd9a9:0x26c6a5ef8464b1a0!8m2!3d43.309566499999995!4d-73.6002776",Yes,Apple,,"$69 , $66 , $16 , $12, $781 , $600 , $16 , $12",Yes,"Adirondack Landscape Supply 518mulch is a firewood provider based in Hudson Falls, New York. They supply apple firewood. Delivery services are offered for local and regional orders. Pricing ranges from $69 , $66 , $16 , $12, $781 , $600 , $16 , $12.",Apple,", .50",True,False,True,True,False,True
Oasis Tree Care,https://oasis-treecare.com/,+1 508-509-1984,,,Springfield,65803,Missouri,United States of America,41.6108786,-70.9760045,31,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Oasis+Tree+Care/@41.6108786,-70.9760045,14z/data=!4m8!1m2!2m1!1sOasis+Tree+Care!3m4!1s0x89e4e36b14faee23:0x25a2bb420a958dc7!8m2!3d41.6108786!4d-70.9760045",Yes,Mixed hardwoods,,,Yes,"Oasis Tree Care is a firewood provider based in Springfield, Missouri. They supply mixed hardwoods firewood. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,True,True,False,False
K & J Lumber Products INC,http://www.kandjlumber.com/?utm_source=google,+1 320-674-4917,"1381 King Rd, Mora, MN 55051",1381 King Rd,Mora,55051,Minnesota,United States of America,45.7870867,-93.2974527,31,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/K+%26+J+Lumber+Products+INC/@45.787086699999996,-93.2974527,14z/data=!4m8!1m2!2m1!1sK+%26+J+Lumber+Products+INC!3m4!1s0x52b3b73890201e8b:0xba6d4396b34e405f!8m2!3d45.787086699999996!4d-93.2974527",No,Mixed hardwoods,,,Yes,"K & J Lumber Products INC is a firewood provider based in Mora, Minnesota. They supply mixed hardwoods firewood. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,False,False
Metro Tree & Stump Service,http://metrotree.godaddysites.com/,+1 763-785-9779,"10101 Naples St NE, Blaine, MN 55449",10101 Naples St NE,Blaine,55449,Minnesota,United States of America,45.155065,-93.180109,31,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""10AM-3PM"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Metro+Tree+%26+Stump+Service/@45.155065,-93.180109,14z/data=!4m8!1m2!2m1!1sMetro+Tree+%26+Stump+Service!3m4!1s0x52b326933212caf9:0x2fec8afc4da43a2c!8m2!3d45.155065!4d-93.180109",No,,,,Yes,"Metro Tree & Stump Service is a firewood provider based in Blaine, Minnesota. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Tree Rite Arborists,https://www.treeritearborist.com/,+1 661-816-6789,,,Lancaster,93536,California,United States of America,36.5040884,-119.2767429,31,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Tree+Rite+Arborists/@36.5040884,-119.27674289999999,14z/data=!4m8!1m2!2m1!1sTree+Rite+Arborists!3m4!1s0x80c2596f00781c57:0x24db3ad3cfb61aa4!8m2!3d36.5040884!4d-119.27674289999999",No,"Oak, Pine",Green,,Yes,"Tree Rite Arborists is a firewood provider based in Lancaster, California. They supply oak, pine firewood. Their wood is typically green for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.","Oak, Pine",Call for pricing,False,False,False,True,True,False
J & D Transfer Station,https://jdtransfer.com/,+1 407-327-0033,"200 Old Sanford Oviedo Rd, Winter Springs, FL 32708",200 Old Sanford Oviedo Rd,Winter Springs,32708,Florida,United States of America,28.7068283,-81.3022449,32,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/J+%26+D+Transfer+Station/@28.706828299999998,-81.30224489999999,14z/data=!4m8!1m2!2m1!1sJ+%26+D+Transfer+Station!3m4!1s0x88e76db1de13b765:0x7483057ecb92d1ef!8m2!3d28.706828299999998!4d-81.30224489999999",No,,,,Yes,"J & D Transfer Station is a firewood provider based in Winter Springs, Florida. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
David's Firewood,https://davidsfirewoodtx.com/,+1 940-284-9663,"5767 US-82, Gainesville, TX 76240",5767 US-82,Gainesville,76240,Texas,United States of America,33.6475231,-97.0697437,32,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-6PM"", ""Sunday"": ""8AM-5PM""}",OPERATIONAL,"https://www.google.com/maps/place/David%27s+Firewood/@33.6475231,-97.06974369999999,14z/data=!4m8!1m2!2m1!1sDavid%27s+Firewood!3m4!1s0x864cfe49b9ed288d:0xa1993a933d01d5d!8m2!3d33.6475231!4d-97.06974369999999",Yes,"Oak, Hickory, Mesquite, Firewood","Seasoned, Green","$170 , $100 1, $300 1",Yes,"David's Firewood is a firewood provider based in Gainesville, Texas. They supply oak, hickory, mesquite, firewood firewood. Their wood is typically seasoned, green for optimal burning. Delivery services are offered for local and regional orders. Pricing ranges from $170 , $100 1, $300 1.","Cherry, Hickory, Oak, Pecan",Call for pricing,False,False,True,True,True,False
LONG ISLAND FIREWOOD,http://www.longislandfirewood.net/,+1 631-848-3190,"240 Elwood Rd, East Northport, NY 11731",240 Elwood Rd,East Northport,11731,New York,United States of America,40.870023,-73.3374379,32,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8AM-3PM"", ""Sunday"": ""9AM-5PM""}",OPERATIONAL,"https://www.google.com/maps/place/LONG+ISLAND+FIREWOOD/@40.870022999999996,-73.3374379,14z/data=!4m8!1m2!2m1!1sLONG+ISLAND+FIREWOOD!3m4!1s0x89e825569af821fb:0x431ad11192123337!8m2!3d40.870022999999996!4d-73.3374379",Yes,Mixed hardwoods,"Seasoned, Green, Dry",$499,Yes,"LONG ISLAND FIREWOOD is a firewood provider based in East Northport, New York. They supply mixed hardwoods firewood. Their wood is typically seasoned, green, dry for optimal burning. Delivery services are offered for local and regional orders. Pricing ranges from $499.",,.99,True,False,True,True,True,True
Pittsford Firewood,http://www.pittsfordfirewood.com/,+1 585-586-1518,,,Pittsford ,14534,New York,United States of America,43.0789581,-77.381693,32,"{""Monday"": ""9AM-4PM"", ""Tuesday"": ""9AM-4PM"", ""Wednesday"": ""9AM-4PM"", ""Thursday"": ""9AM-4PM"", ""Friday"": ""9AM-4PM"", ""Saturday"": ""9AM-4PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Pittsford+Firewood/@43.0789581,-77.381693,14z/data=!4m8!1m2!2m1!1sPittsford+Firewood!3m4!1s0x89d13442ee274963:0xcfa2cac3aae341d!8m2!3d43.0789581!4d-77.381693",No,"Oak, Hickory, Firewood",Seasoned,,Yes,"Pittsford Firewood is a firewood provider based in Pittsford , New York. They supply oak, hickory, firewood firewood. Their wood is typically seasoned for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,True,False
PapaWood Firewood Delivery,https://www.facebook.com/papawoodAtx/,+1 512-281-6279,,,Elgin,78621,Texas,United States of America,30.3422625,-97.7645476,32,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/PapaWood+Firewood+Delivery/@30.3422625,-97.7645476,14z/data=!4m8!1m2!2m1!1sPapaWood+Firewood+Delivery!3m4!1s0x3acacf5ed429933:0x2bcb4fcd22f7953d!8m2!3d30.3422625!4d-97.7645476",No,,,,Yes,"PapaWood Firewood Delivery is a firewood provider based in Elgin, Texas. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Werner Firewood,http://wernerfirewood.com/,+1 713-504-7295,"10612 Hempstead Rd Ste E, Houston, TX 77092",10612 Hempstead Rd Ste E,Houston,77092,Texas,United States of America,29.8100389,-95.4697944,32,,OPERATIONAL,"https://www.google.com/maps/place/Werner+Firewood/@29.8100389,-95.4697944,14z/data=!4m8!1m2!2m1!1sWerner+Firewood!3m4!1s0x8640ebbbcb3a521b:0x18d2076f384fdb1e!8m2!3d29.8100389!4d-95.4697944",Yes,"Oak, Hickory, Firewood",Seasoned,"$229 , $199 , $179 , $125 , $125 , $179 , $0",Yes,"Werner Firewood is a firewood provider based in Houston, Texas. They supply oak, hickory, firewood firewood. Their wood is typically seasoned for optimal burning. Delivery services are offered for local and regional orders. Pricing ranges from $229 , $199 , $179 , $125 , $125 , $179 , $0.","Hickory, Mesquite, Oak, Pecan",", .00",True,False,True,True,True,True
Affordable Tree and Stump Service,https://affordabletreeandstumpservice.com/,+1 903-570-8214,,,Lindale,75706,Texas,United States of America,32.4511365,-95.449763,32,"{""Monday"": ""7AM-7PM"", ""Tuesday"": ""7AM-7PM"", ""Wednesday"": ""7AM-7PM"", ""Thursday"": ""7AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""7AM-7PM"", ""Sunday"": ""7AM-7PM""}",OPERATIONAL,"https://www.google.com/maps/place/Affordable+Tree+and+Stump+Service/@32.4511365,-95.44976299999999,14z/data=!4m8!1m2!2m1!1sAffordable+Tree+and+Stump+Service!3m4!1s0x8649c172d0a94f29:0x51c0b1993ac5be47!8m2!3d32.4511365!4d-95.44976299999999",No,Mixed hardwoods,"Green, Dry",,Yes,"Affordable Tree and Stump Service is a firewood provider based in Lindale, Texas. They supply mixed hardwoods firewood. Their wood is typically green, dry for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,True,False
Aching Axes Firewood and More,http://achingaxes.com/,+1 406-539-2801,"30 Hargrove Loop, Gallatin Gateway, MT 59730",30 Hargrove Loop,Gallatin Gateway,59730,Montana,United States of America,45.5907797,-111.1976217,32,"{""Monday"": ""6AM-6PM"", ""Tuesday"": ""6AM-6PM"", ""Wednesday"": ""6AM-6PM"", ""Thursday"": ""6AM-6PM"", ""Friday"": ""6AM-6PM"", ""Saturday"": ""6AM-6PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Aching+Axes+Firewood+and+More/@45.5907797,-111.1976217,14z/data=!4m8!1m2!2m1!1sAching+Axes+Firewood+and+More!3m4!1s0x5345526e66844b09:0xed227060c805f8a8!8m2!3d45.5907797!4d-111.1976217",Yes,Mixed hardwoods,Seasoned,,Yes,"Aching Axes Firewood and More is a firewood provider based in Gallatin Gateway, Montana. They supply mixed hardwoods firewood. Their wood is typically seasoned for optimal burning. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,True,True,True,False
