name,site,phone,full_address,street,city,postal_code,state,country,latitude,longitude,reviews,working_hours,business_status,location_link,delivery_available,firewood_type,firewood_prep,price_range,website_available,description,firewood_type_extracted,price_extracted,price_info_available,needs_manual_review,has_firewood_delivery,has_firewood_type,has_firewood_prep,has_price_info
John's Tree Service & Landscaping Inc.,http://johnstreeandlandscaping.com/,+1 607-235-3086,"775 Harry L Dr, Johnson City, NY 13790",775 Harry L Dr,Johnson City,13790,New York,United States of America,42.1214315,-75.9809227,129,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/John%27s+Tree+Service+%26+Landscaping+Inc./@42.1214315,-75.9809227,14z/data=!4m8!1m2!2m1!1sJohn%27s+Tree+Service+%26+Landscaping+Inc.!3m4!1s0x89daef6ddd28b001:0x5b1f19f1faa83d3d!8m2!3d42.1214315!4d-75.9809227",Yes,Maple,,,Yes,"John's Tree Service & Landscaping Inc. is a firewood provider based in Johnson City, New York. They supply maple firewood. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.",Maple,Call for pricing,False,False,True,True,False,False
PDX HARDWOODS,http://pdxhardwoods.com/,+1 971-304-5799,"6072 Brush Creek Dr NE, Silverton, OR 97381",6072 Brush Creek Dr NE,Silverton,97381,Oregon,United States of America,45.0140661,-122.8241709,130,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""9AM-5PM""}",OPERATIONAL,"https://www.google.com/maps/place/PDX+HARDWOODS/@45.0140661,-122.8241709,14z/data=!4m8!1m2!2m1!1sPDX+HARDWOODS!3m4!1s0x54bfe146b7b0afe7:0xfd8b3c12fd6ae85d!8m2!3d45.0140661!4d-122.8241709",No,,,,Yes,"PDX HARDWOODS is a firewood provider based in Silverton, Oregon. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
B'ville Supply,https://bvillesupplyinc.com/,+1 315-635-5221,"82 E Genesee St, Baldwinsville, NY 13027",82 E Genesee St,Baldwinsville,13027,New York,United States of America,43.159946,-76.323518,130,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-5PM"", ""Sunday"": ""9AM-5PM""}",OPERATIONAL,"https://www.google.com/maps/place/B%27ville+Supply/@43.159946,-76.32351799999999,14z/data=!4m8!1m2!2m1!1sB%27ville+Supply!3m4!1s0x89d9e4560b6f5cd3:0x1921a436fad7be0e!8m2!3d43.159946!4d-76.32351799999999",No,,"Seasoned, Green, Dry",,Yes,"B'ville Supply is a firewood provider based in Baldwinsville, New York. Their wood is typically seasoned, green, dry for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,True,False
Best Burn Firewood,https://bestburnfirewood.com/,+1 262-746-7416,"19000 W Lincoln Ave, New Berlin, WI 53146",19000 W Lincoln Ave,New Berlin,53146,Wisconsin,United States of America,43.0038415,-88.1501631,131,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-6PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Best+Burn+Firewood/@43.0038415,-88.1501631,14z/data=!4m8!1m2!2m1!1sBest+Burn+Firewood!3m4!1s0x8805a87db669c34d:0x73cdfc659b66cc10!8m2!3d43.0038415!4d-88.1501631",Yes,"Oak, Hickory, Firewood","Seasoned, Kiln-Dried, Green, Dry","$40, $135 , $249 , $384 , $633 , $145 , $289 , $414 , $699 , $165 , $329 , $454 , $765 , $155 , $307 , $434 , $709 , $165 , $329 , $454 , $745 , $30 , $5 , $27, $15 , $25 , $30 , $22, $50, $20 ",Yes,"Best Burn Firewood is a firewood provider based in New Berlin, Wisconsin. They supply oak, hickory, firewood firewood. Their wood is typically seasoned, kiln-dried, green, dry for optimal burning. Delivery services are offered for local and regional orders. Pricing ranges from $40, $135 , $249 , $384 , $633 , $145 , $289 , $414 , $699 , $165 , $329 , $454 , $765 , $155 , $307 , $434 , $709 , $165 , $329 , $454 , $745 , $30 , $5 , $27, $15 , $25 , $30 , $22, $50, $20 .","Ash, Birch, Cedar, Cherry, Elm, Hickory, Locust, Maple, Oak, Pecan, Pine",", .00, .5",True,False,True,True,True,True
Big Bird Tree Service,https://bigbirdtreeservices.com/,+1 972-228-8844,"401 E Wheatland Rd, Dallas, TX 75241",401 E Wheatland Rd,Dallas,75241,Texas,United States of America,32.6481115,-96.8163405,131,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Big+Bird+Tree+Service/@32.6481115,-96.8163405,14z/data=!4m8!1m2!2m1!1sBig+Bird+Tree+Service!3m4!1s0x864e96c730b4e283:0xf80f1622a2a6699b!8m2!3d32.6481115!4d-96.8163405",No,,,,Yes,"Big Bird Tree Service is a firewood provider based in Dallas, Texas. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Joe Benigno's Tree Services,http://www.joebenignos.com/,+1 775-265-9665,"1460 Industrial Way, Gardnerville, NV 89410",1460 Industrial Way,Gardnerville,89410,Nevada,United States of America,38.927323,-119.7285101,133,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Joe+Benigno%27s+Tree+Services/@38.927323,-119.7285101,14z/data=!4m8!1m2!2m1!1sJoe+Benigno%27s+Tree+Services!3m4!1s0x8099d1ace3940433:0xbad9f34edd9c6ca8!8m2!3d38.927323!4d-119.7285101",No,Pine,,"$50 , $500 , $100 , $1000, $50 , $500 , $100 , $1000",Yes,"Joe Benigno's Tree Services is a firewood provider based in Gardnerville, Nevada. They supply pine firewood. Currently, delivery services are not available. Pricing ranges from $50 , $500 , $100 , $1000, $50 , $500 , $100 , $1000.",,Call for pricing,False,False,False,True,False,False
Firewood El Paso Texas,https://free-5683439.webadorsite.com/?_gl=1*14j1k9c*_gcl_aw*R0NMLjE3Mjk3NDU1NzkuQ2owS0NRand2ZUs0QmhENEFSSXNBS3k2cE1KcnFsNXhUSFZMcThtTDZyM1hjbXR0RUM1SkdDVUJoVHh2QXJQVzNyQXdXRTNGc25Wdm9vRWFBbjktRUFMd193Y0I.*_gcl_au*MTE4NjA4MzAyNC4xNzI5NzQ1NTc1*_ga*MTY2ODYzODA3OS4xNzI5NzQ1NTMw*_ga_E6PZPGE4QM*MTcyOTc3ODU4OC40LjEuMTcyOTc4MDI0NC41MS4wLjA.,+1 915-867-4989,"420 Redd Rd, El Paso, TX 79912",420 Redd Rd,El Paso,79912,Texas,United States of America,31.8631155,-106.5735643,134,"{""Monday"": ""6AM-10PM"", ""Tuesday"": ""6AM-10PM"", ""Wednesday"": ""6AM-10PM"", ""Thursday"": ""6AM-10PM"", ""Friday"": ""6AM-10PM"", ""Saturday"": ""6AM-10PM"", ""Sunday"": ""7AM-10PM""}",OPERATIONAL,"https://www.google.com/maps/place/Firewood+El+Paso+Texas/@31.8631155,-106.5735643,14z/data=!4m8!1m2!2m1!1sFirewood+El+Paso+Texas!3m4!1s0x86e0ac8867873c3d:0xa2584cb7dd6d5af9!8m2!3d31.8631155!4d-106.5735643",Yes,"Oak, Pine, Mesquite, Firewood","Seasoned, Dry",,Yes,"Firewood El Paso Texas is a firewood provider based in El Paso, Texas. They supply oak, pine, mesquite, firewood firewood. Their wood is typically seasoned, dry for optimal burning. Delivery services are offered for local and regional orders. Customers are encouraged to call for current pricing.","Apple, Cedar, Mesquite, Oak, Pecan, Pine",Call for pricing,False,False,True,True,True,False
Locust Ridge Landscape LLC,https://www.locustridgelandscape.com/,+1 717-447-5085,"513 Springfield Rd, Shippensburg, PA 17257",513 Springfield Rd,Shippensburg,17257,Pennsylvania,United States of America,40.1266077,-77.4174821,134,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""7AM-12PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Locust+Ridge+Landscape+LLC/@40.1266077,-77.4174821,14z/data=!4m8!1m2!2m1!1sLocust+Ridge+Landscape+LLC!3m4!1s0x89c90d42bceacff7:0xb3d542286169847a!8m2!3d40.1266077!4d-77.4174821",No,"Locust, Maple","Kiln-Dried, Green",,Yes,"Locust Ridge Landscape LLC is a firewood provider based in Shippensburg, Pennsylvania. They supply locust, maple firewood. Their wood is typically kiln-dried, green for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.","Locust, Maple",Call for pricing,False,False,False,True,True,False
Unchained Tree Services & Firewood,http://www.unchainedtreeservices.com/,+1 817-925-8138,"305 Mansfield Cardinal Rd, Kennedale, TX 76060",305 Mansfield Cardinal Rd,Kennedale,76060,Texas,United States of America,32.64574,-97.2175743,134,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""9AM-4PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Unchained+Tree+Services+%26+Firewood/@32.645739999999996,-97.2175743,14z/data=!4m8!1m2!2m1!1sUnchained+Tree+Services+%26+Firewood!3m4!1s0x864e6c39efbb3135:0x311de9a039521f52!8m2!3d32.645739999999996!4d-97.2175743",No,Mixed hardwoods,"Dry, Seasoned",,Yes,"Unchained Tree Services & Firewood is a firewood provider based in Kennedale, Texas. They supply mixed hardwoods firewood. Their wood is typically dry, seasoned for optimal burning. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,True,True,False
Install Brick Pavers,https://www.installbrickpaver.com/,+1 407-745-4302,"5600 Carder Rd, Orlando, FL 32810",5600 Carder Rd,Orlando,32810,Florida,United States of America,28.6084725,-81.4196138,134,"{""Monday"": ""8AM-4:30PM"", ""Tuesday"": ""8AM-4:30PM"", ""Wednesday"": ""8AM-4:30AM"", ""Thursday"": ""8AM-4:30PM"", ""Friday"": ""8AM-4:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Install+Brick+Pavers/@28.608472499999998,-81.4196138,14z/data=!4m8!1m2!2m1!1sInstall+Brick+Pavers!3m4!1s0x88e77b07f188c2bb:0x61e6fe97088fd453!8m2!3d28.608472499999998!4d-81.4196138",No,,,,Yes,"Install Brick Pavers is a firewood provider based in Orlando, Florida. Currently, delivery services are not available. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
